2025-06-11 13:51:50,738 - INFO - [2025-06-11 13:51:50] Servidor escuchando en 0.0.0.0:65432...
2025-06-11 13:54:07,539 - INFO - [2025-06-11 13:54:07] Conectado por 192.168.1.4:52883
2025-06-11 14:12:57,732 - INFO - [2025-06-11 14:12:57.732] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-059
2025-06-11 14:12:57,732 - INFO - [2025-06-11 14:12:57.732] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-059
2025-06-11 14:12:58,756 - INFO - [2025-06-11 14:12:58.756] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-060
2025-06-11 14:12:58,756 - INFO - [2025-06-11 14:12:58.756] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-060
2025-06-11 14:12:59,780 - INFO - [2025-06-11 14:12:59.780] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-061
2025-06-11 14:12:59,780 - INFO - [2025-06-11 14:12:59.780] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-061
2025-06-11 14:13:00,804 - INFO - [2025-06-11 14:13:00.804] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-062
2025-06-11 14:13:00,804 - INFO - [2025-06-11 14:13:00.804] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-062
2025-06-11 14:13:01,828 - INFO - [2025-06-11 14:13:01.827] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-063
2025-06-11 14:13:01,828 - INFO - [2025-06-11 14:13:01.828] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-063
2025-06-11 14:13:02,852 - INFO - [2025-06-11 14:13:02.852] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-064
2025-06-11 14:13:02,852 - INFO - [2025-06-11 14:13:02.852] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-064
2025-06-11 14:13:03,875 - INFO - [2025-06-11 14:13:03.875] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-065
2025-06-11 14:13:03,876 - INFO - [2025-06-11 14:13:03.876] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-065
2025-06-11 14:13:04,900 - INFO - [2025-06-11 14:13:04.900] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-066
2025-06-11 14:13:04,900 - INFO - [2025-06-11 14:13:04.900] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-066
2025-06-11 14:13:05,923 - INFO - [2025-06-11 14:13:05.923] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-067
2025-06-11 14:13:05,923 - INFO - [2025-06-11 14:13:05.923] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-067
2025-06-11 14:13:06,947 - INFO - [2025-06-11 14:13:06.947] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-068
2025-06-11 14:13:06,947 - INFO - [2025-06-11 14:13:06.947] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-068
2025-06-11 14:13:07,971 - INFO - [2025-06-11 14:13:07.971] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-069
2025-06-11 14:13:07,971 - INFO - [2025-06-11 14:13:07.971] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-069
2025-06-11 14:13:08,995 - INFO - [2025-06-11 14:13:08.995] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-070
2025-06-11 14:13:08,995 - INFO - [2025-06-11 14:13:08.995] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-070
2025-06-11 14:13:10,019 - INFO - [2025-06-11 14:13:10.019] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-071
2025-06-11 14:13:10,019 - INFO - [2025-06-11 14:13:10.019] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-071
2025-06-11 14:13:11,042 - INFO - [2025-06-11 14:13:11.042] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-072
2025-06-11 14:13:11,043 - INFO - [2025-06-11 14:13:11.043] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-072
2025-06-11 14:13:12,066 - INFO - [2025-06-11 14:13:12.066] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-073
2025-06-11 14:13:12,067 - INFO - [2025-06-11 14:13:12.067] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-073
2025-06-11 14:13:13,071 - INFO - [2025-06-11 14:13:13.070] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-074
2025-06-11 14:13:13,071 - INFO - [2025-06-11 14:13:13.071] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-074
2025-06-11 14:13:14,115 - INFO - [2025-06-11 14:13:14.115] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-075
2025-06-11 14:13:14,116 - INFO - [2025-06-11 14:13:14.116] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-075
2025-06-11 14:13:15,149 - INFO - [2025-06-11 14:13:15.149] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-076
2025-06-11 14:13:15,150 - INFO - [2025-06-11 14:13:15.150] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-076
2025-06-11 14:13:16,265 - INFO - [2025-06-11 14:13:16.265] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-077
2025-06-11 14:13:16,265 - INFO - [2025-06-11 14:13:16.265] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-077
2025-06-11 14:13:17,288 - INFO - [2025-06-11 14:13:17.288] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-078
2025-06-11 14:13:17,289 - INFO - [2025-06-11 14:13:17.289] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-078
2025-06-11 14:13:18,312 - INFO - [2025-06-11 14:13:18.312] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-079
2025-06-11 14:13:18,313 - INFO - [2025-06-11 14:13:18.313] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-079
2025-06-11 14:13:19,336 - INFO - [2025-06-11 14:13:19.336] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-080
